source,nozzle_temp,printing_speed,specimen_thickness,layer_thickness,nozzle_diameter,chamber_temp,platform_temp,build_time,tensile_strength,Flow_Index
Wang2019,380,20,4,0.2,0.4,186,280,98,66,0.80930556
Wang2019,400,20,4,0.2,0.4,186,280,98,67.5,0.827230019
Wang2019,420,20,4,0.2,0.4,186,280,98,71,0.964734045
Wang2019,440,20,4,0.2,0.4,186,280,98,72.5,1.34288422
Wang2019,400,17,4,0.2,0.4,186,280,115.3,67,0.840830019
Wang2019,400,20,4,0.2,0.4,186,280,98,68,0.827230019
Wang2019,400,23,4,0.2,0.4,186,280,85.2,66,0.821330019
Wang2019,400,26,4,0.2,0.4,186,280,75.4,56.5,0.808340019
Wang2019,400,20,4,0.1,0.4,186,280,196,65.5,0.8773619
Wang2019,400,20,4,0.15,0.4,186,280,130.7,63,0.845141392
Wang2019,400,20,4,0.2,0.4,186,280,98,63,0.827230019
Wang2019,400,20,4,0.25,0.4,186,280,78.4,68,0.782581262
Wang2019,380,20,4,0.3,0.6,186,280,65.3,43,0.644187437
Wang2019,400,20,4,0.3,0.6,186,280,65.3,56,0.679428554
Wang2019,420,20,4,0.3,0.6,186,280,65.3,69,0.721349287
Wang2019,440,20,4,0.3,0.6,186,280,65.3,72.5,0.776775137
Wang2019,400,17,4,0.3,0.6,186,280,76.9,55,0.707418554
Wang2019,400,20,4,0.3,0.6,186,280,65.3,56.5,0.679428554
Wang2019,400,23,4,0.3,0.6,186,280,56.8,52,0.669628554
Wang2019,400,26,4,0.3,0.6,186,280,50.3,46,0.644728554
Wang2019,400,20,4,0.25,0.6,186,280,78.4,55,0.782581262
Wang2019,400,20,4,0.3,0.6,186,280,65.3,58,0.679428554
Wang2019,400,20,4,0.35,0.6,186,280,56,56,0.63091757
Wang2019,400,20,4,0.4,0.6,186,280,49,38,0.554019625
Wang2019,380,20,4,0.4,0.8,186,280,49,52,0.542753401
Wang2019,400,20,4,0.4,0.8,186,280,49,51,0.554019625
Wang2019,420,20,4,0.4,0.8,186,280,49,58,0.615979424
Wang2019,440,20,4,0.4,0.8,186,280,49,69,0.709398012
Wang2019,400,17,4,0.4,0.8,186,280,57.6,56,0.572919625
Wang2019,400,20,4,0.4,0.8,186,280,49,50,0.554019625
Wang2019,400,23,4,0.4,0.8,186,280,42.6,34,0.525909625
Wang2019,400,26,4,0.4,0.8,186,280,37.7,36,0.518909625
Wang2019,400,20,4,0.35,0.8,186,280,56,60,0.63091757
Wang2019,400,20,4,0.4,0.8,186,280,49,53,0.554019625
Wang2019,400,20,4,0.45,0.8,186,280,43.6,51,0.492601188
Wang2019,400,20,4,0.5,0.8,186,280,39.2,52.5,0.565210295
Wang2019,440,20,4,0.1,0.4,186,280,196,76,1.193757062
Wang2019,440,20,4,0.25,0.6,186,280,78.4,73,1.300128862
Wang2019,440,20,4,0.35,0.8,186,280,56,61,0.688225687
